name,price,discount_rate,rating_average,review_count,quantity_sold,sales_status
Sữa rửa mặt sen Hậu Giang Cocoon 310ml,338727,0,0.0,0,771,Hot
Nước Tẩy Trang Sen Hậu Giang Sạch Bụi Siêu Mịn PM1.0 - Có Prebiotics Dịu Êm Cho Da Rất Nhạy Cảm Cocoon 500ml,260500,16,5.0,1,898,Hot
[Qùa tặng] Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 50g,40000,2,0.0,0,9,Slow
Serum Sáng Đa Tầng Pond'S Bright Miracle Mờ Thâm Sạm Với 50X Niasorcinol 30gr,184000,3,5.0,1,20,Slow
Sữa rửa mặt Hada Labo dưỡng ẩm cao cấp Premium Cleanser Hydrating 100g,99000,20,5.0,3,31,Slow
Sữa rửa mặt X-Men 100g Detox/Sáng da/Ngừa mụn/Kiểm soát nhờn/Mát lạnh,62000,25,5.0,3,51,Slow
Xịt khoáng dưỡng ẩm - làm dịu và bảo vệ da Evoluderm Atomiseur Eau Pure,105000,46,5.0,19,169,Slow
Nước tẩy trang bí đao Cocoon 500ml,279350,7,5.0,31,26858,Hot
Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml,157000,9,4.8,39,24722,Hot
Xịt chống nắng bảo vệ đa chiều Skin Aqua Ultra Protection Mist 60ml,179000,19,5.0,3,36,Slow
Kem chống nắng dạng gel dịu nhẹ cho da nhạy cảm và trẻ em Anessa Mineral UV sunscreen mild gel For Sensitive Skin & Babies SPF 35+ PA++++ 90g,442000,23,4.5,5,126,Slow
Kem Làm Mờ Sẹo Thâm - Sẹo Rỗ - Sẹo Lõm Scar Esthetique của Rejuvaskin - thương hiệu hỗ trợ trị sẹo Hoa Kỳ ,318000,24,4.6,1581,5231,Hot
Kem dưỡng trắng dạng gel Hada Labo Perfect White Tranexamic Acid Cream 50g,236000,15,4.5,28,1058,Hot
Kem chấm mụn chuyên sâu Acnes Blemish Clear Cream 10g,57000,15,4.8,91,7112,Hot
Sữa Rửa Mặt Nivea Men Hạt Mát Xa Sạch Nhờn Mát Lạnh (100G) - 88880 - Sữa Rửa Mặt NIVEA MEN Bọt Mịn Sạch Nhờn Mát Lạnh  NIVEA (100G) - 88869,74000,10,4.5,8,22199,Hot
Kem Dưỡng Mềm Da Nivea Soft Crème (200 Ml) - 89050,201000,11,0.0,0,100,Slow
Nước Tẩy Trang NIVEA Hokkaido Rose Làm Sạch Trang Điểm Hiệu Quả (400 Ml) - 86550,175500,12,0.0,0,4,Slow
Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 80g,83000,19,4.7,656,78170,Hot
Kem dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cream 50g,218000,15,4.7,882,7556,Hot
Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g,59000,23,5.0,247,237816,Hot
Gel chấm mụn đầu trắng và đầu đen Acnes Sealing Jell 18g,57000,23,4.7,337,11866,Hot
Sữa rửa mặt cho nam Oxy sạch sâu mát lạnh dạng kem Oxy Perfect Wash 100g,64000,25,4.8,104,69128,Hot
Sữa rửa mặt cho nam Oxy sạch sâu giảm nhờn dạng kem có hạt massage Oxy Deep Wash 100g,76000,15,4.8,256,63796,Hot
Kem Rửa Mặt Tút Sáng Từ Đất Sét Trắng Oxy White Complete (100g),68000,17,4.7,171,25521,Hot
Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 100g,59000,23,4.7,319,116984,Hot
Combo 3 Bông Tẩy Trang Jomi (120 Miếng/Túi),99000,20,5.0,42,398,Slow
Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (24 Miếng),50500,22,4.7,327,173820,Hot
Sữa rửa mặt vitamin làm sáng da - mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g,59000,23,4.8,324,135358,Hot
Phim Thấm Dầu Acnes Oil Remover Film 50 Tờ,62000,10,5.0,115,66134,Hot
Giấy thấm dầu kiểm soát nhờn - ngừa mụn Acnes Oil Remover Paper 100 tờ,26500,22,4.7,269,150127,Hot
Kem chống nắng Skin Aqua dưỡng trắng - kiểm dầu - dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50 - PA++++ 25g,113000,16,4.8,498,38465,Hot
Kem chống nắng Sunplay cho bé từ 6 tháng tuổi và da nhạy cảm - dạng sữa Sunplay Baby Mild SPF 35 - PA++ 30g,87000,19,4.8,148,4032,Hot
Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81 - PA++++ 30g,85000,24,5.0,287,63325,Hot
Combo 3 Bông Tẩy Trang Jomi (80 Miếng / Túi),70000,22,4.6,188,3414,Hot
Kem mờ sẹo và thâm dạng gel Acnes Scar Care 12g,70500,16,4.7,394,18269,Hot
Sữa rửa mặt cải thiện dấu hiệu lão hóa dạng kem Hada Labo Pro-Aging Retinol B3 Cleanser 80g,87000,15,4.7,479,54944,Hot
Kem dưỡng cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Cream 50g,243000,20,4.7,631,7146,Hot
Sữa rửa mặt dưỡng ẩm tối ưu Hada Labo Advanced Nourish Cleanser 80g,77000,16,4.7,1253,116709,Hot
Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81 - PA++++ 70g,168000,16,4.8,421,32403,Hot
Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,90000,24,4.2,572,20351,Hot
[Gift] Cài tóc Hada Labo xinh xắn (màu ngẫu nhiên),15000,0,0.0,0,42,Slow
Gel Rửa Mặt Simple Dưỡng Ẩm Cho Da Dạng Gel 150ml Water Boost Micellar Facial Gel Wash,103500,26,5.0,1,1815,Hot
Combo 10 Mặt Nạ Tăng Sinh Collagen Cấp Tốc Dr.WonJin Instant Repair Triple Peptide Wrinkle Solution Mask 30g x10,298500,25,5.0,1,25,Slow
Cà Phê Đăk Lăk Làm Sạch Da Chết Môi Cocoon 5g,61500,16,5.0,4,2600,Hot
Serum dưỡng ẩm chuyên sâu - làm dịu da Acnes Lab B5 Recovery Serum 25ml,369000,15,4.8,6,69,Slow
Sữa rửa mặt cho nam Oxy sạch dịu nhẹ - kiềm dầu dạng kem Oxy Oil Acne Wash 100g,78500,19,5.0,9,60,Slow
Sữa rửa mặt nghệ Hưng Yên Cocoon 310ml,250750,16,5.0,7,953,Hot
Combo 2 Sữa rửa mặt ngừa mụn - dưỡng ẩm và làm sáng da hatomugi 130g/tuýp,188000,0,0.0,0,2,Slow
Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,193500,28,4.3,7,395,Slow
Serum L'Oreal Giảm Bọng Mắt & Làm Đầy Rãnh Nhăn 20ml Revitalift 2.5% Hyaluronic Acid + Caffeine Eye Serum,305000,0,0.0,0,9,Slow
Giấy thấm dầu trà xanh Acnes Oil Remover Paper Green Tea 100 tờ,36000,12,4.7,10,6955,Hot
Bộ travel size dưỡng trắng Hada Labo Perfect White Tranexamic Acid Travel Set (Kem rửa mặt 15g+Dung dịch dưỡng 20ml+Kem dưỡng 12g),80000,14,5.0,10,87,Slow
Nước tẩy trang cho da mụn Acnes Micellar Water 200ml,86000,19,4.8,22,197,Slow
Combo 3 Miếng Dán Giảm Mụn Mayancare 20 Miếng (0.8cm),82000,22,5.0,15,182,Slow
Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (48 Miếng),86000,19,4.8,34,579,Hot
Sữa rửa mặt ngăn ngừa mụn dạng gel Acnes Gentle Wash 100g,59000,23,5.0,44,7100,Hot
Nước Hoa Hồng Diếp Cá Giúp Cân Bằng Da Dokudami Nội Địa Nhật Bản 500ml,95000,0,5.0,3,12,Slow
Kem Dưỡng Da Ban Ngày OLAY Luminous Trắng Da Mờ Thâm Nám SPF15+ 50g,198500,26,4.5,7,690,Hot
Sữa rửa mặt Simple giúp cấp ẩm - da trông khỏe và mịn màng - cho da khô nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [MỚI],135000,4,4.7,228,8898,Hot
Combo 10 Mặt Nạ BNBG Hydrating Vita Genic Jelly Mask Dưỡng Ẩm Da Đa Tầng 30mlx10,170000,42,5.0,6,65,Slow
Kem dưỡng trắng dạng gel giúp cải thiện thâm sạm Melano CC Whitening Gel 100g,301000,20,4.5,102,569,Hot
Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo + Kem chống nắng dạng xịt dưỡng da bảo vệ hoàn hảo (Anessa Gold Milk 60ml + Gold Spray 60g),854000,27,5.0,4,229,Slow
Kem dưỡng ẩm dạng gel Hada Labo Koi-Gokujyun Perfect Gel 100g,351000,20,4.7,70,389,Slow
Sữa rửa mặt NIVEA Pearl White Đất Sét giúp trắng da ngọc trai (100g) - 81273,74000,6,4.8,6,9137,Hot
Sữa Rửa Mặt Tạo Bọt NIVEA Chiết Xuất Hoa Hồng Hokkaido (100ml) - 84984,76500,27,5.0,1,7,Slow
Kem chống nắng dạng gel dưỡng ẩm bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Gel SPF50+ PA++++ 90g,439500,24,4.7,30,2150,Hot
Kem dưỡng ẩm chống nắng ban ngày dạng gel Hada Labo Koi-Gokujyun UV White Gel SPF50+ PA++++ 90g,358500,20,4.6,256,1621,Hot
Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da thường và da khô 100ml,89000,39,4.8,228,1676,Hot
Kem chống nắng dạng tinh chất Senka Perfect UV Essence 50g,154500,26,4.5,151,1239,Hot
Sữa chống nắng nâng tông Skin Aqua Tone up Lavender cho da tối màu & da vàng Sunplay Skin Aqua Tone Up UV Milk Lavender SPF 50+ PA++++ 50g,163000,19,4.7,792,12424,Hot
Bộ 3 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản Cao Cấp (66 Miếng/Hộp),110000,25,4.7,492,8980,Hot
Bộ 3 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản (82 Miếng/Hộp),100000,24,4.8,1660,20438,Hot
Sữa Rửa Mặt Mịn Và Săn Chắc Da Senka Perfect Whip Collagen In 120G - [4901872462087],100000,22,4.6,59,128915,Hot
Lotion dưỡng ẩm cao cấp - Siêu cấp ẩm cho da căng mượt Hada Labo Gokujyun Premium Hydrating Lotion (170ml),275500,20,4.7,387,2585,Hot
Kem chống nắng Skin Aqua cho da mụn - dạng sữa dùng hàng ngày Sunplay Skin Aqua Acne Clear Eco Việt Nam SPF 50 - PA++++ 25g,111000,20,4.8,428,8681,Hot
Kem chống nắng Sunplay dưỡng trắng da - dạng sữa Sunplay Whitening UV SPF 50 - PA++++ 30g,87000,19,4.8,205,4114,Hot
Dầu tẩy trang dưỡng ẩm Hada Labo Advanced Nourish Hyaluron Cleasing Oil 200ml,203500,24,4.7,290,3470,Hot
Serum chấm mụn chuyên biệt cho da mụn ở tuổi trưởng thành Acnes 25+ Facial Serum 20ml,95000,19,4.6,259,4940,Hot
Kem dưỡng ẩm Hada Labo Advanced Nourish Cream 50g,170000,25,4.7,748,9906,Hot
Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da dầu 170ml,161000,25,4.7,441,3918,Hot
Kem chống nắng nâng tông Skin Aqua Tone up Blue cho da vàng có khuyết điểm đỏ - dạng sữa Sunplay Skin Aqua Tone Up UV Milk Blue SPF 50+ PA++++ 50g,163000,17,5.0,2,17,Slow
Kem dưỡng ẩm làm mềm bảo vệ da tay Evoluderm 150ml,109000,38,5.0,2,24,Slow
Nước tẩy trang Evoluderm Micellar Cleansing Water 250ml,89000,54,5.0,1,15,Slow
Kem dưỡng ẩm phục hồi và nuôi dưỡng làn da Evoluderm 50ml,146373,58,5.0,3,29,Slow
Nước hoa hồng dưỡng ẩm và làm sạch cho da nhạy cảm Evoluderm Lotion Tonique 500ml,155000,52,4.8,4,30,Slow
Combo 10 Mặt Nạ Cấp Ẩm Đa Tầng - Căng bóng Da BNBG PDRN Hydrating Skinbooster Mask 30ML,299000,29,0.0,0,15,Slow
Combo 10 Mặt Nạ BNBG Tràm Trà Thải Độc Da - Giảm Mụn Vita Tea Tree Healing Face Mask Pack 30ml x10,198500,55,5.0,1,24,Slow
Combo 6 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản (82 Miếng/Hộp) ,176500,32,0.0,0,28,Slow
Sữa rửa mặt cho nam Oxy sạch dịu nhẹ - giảm khô căng dạng gel Oxy Hydrating Wash 100g,75500,22,4.3,8,53,Slow
Dung dịch chấm mụn bí đao Cocoon 5ml,103500,16,5.0,2,74,Slow
Mặt nạ nghệ Hưng Yên Cocoon 30ml,138000,9,5.0,7,4717,Hot
Nước tẩy trang hoa hồng Cocoon 310ml,203500,15,5.0,1,17,Slow
Nước tẩy trang simple Sạch sâu 400ml water boost,145500,27,0.0,0,10,Slow
Sữa Rửa Mặt CERAVE Hydrating Cleanser 473ml,470000,0,0.0,0,1,Slow
Combo 2 Sữa rửa mặt hạt chứa than hoạt tính dành cho nam s select 130g/tuýp,86000,28,3.7,3,16,Slow
Sữa rửa mặt làm sáng da Hatomugi 170g/tuýp,59000,0,5.0,1,11,Slow
[Mới] Kem Chống Nắng Kiềm Dầu SẮC NGỌC KHANG 50g - bảo vệ toàn diện - kiểm soát bóng dầu hiệu quả,255000,48,5.0,1,7,Slow
Dung dịch cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Lotion 170ml,225000,25,5.0,2,70,Slow
Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,103500,13,5.0,8,117138,Hot
Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,63000,0,0.0,0,12,Slow
Kem Nghệ Giảm Mụn Oriss Giúp Mờ Thâm Sẹo Dưỡng Ẩm Sáng Da 20g,69000,24,5.0,6,58,Slow
Dưỡng Chất Chống Nắng L'Oreal Paris Uv Defender Serum Protector Invisible Fluid 50ml,265000,0,5.0,4,20,Slow
Nước dưỡng sáng & cấp ẩm cho da Eucerin Boosting Essence 100ml,661500,12,5.0,2,35,Slow
Combo 5 Bông Tẩy Trang Jomi (80 Miếng/Túi),115000,23,5.0,9,72,Slow
Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo (Anessa Gold Milk 60ml x2),1089500,24,4.7,28,9351,Hot
Sữa chống nắng dưỡng da Shiseido GSC Perfect Sun Protector Lotion SPF50+ 50ml,1193400,10,0.0,0,9,Slow
