id,name,brand_name,price,discount_rate,rating_average,review_count,quantity_sold,sales_status
278733434,Nước Tẩy Trang Sen Hậu Giang Sạch Bụi Siêu Mịn PM1.0 - Có Prebiotics Dịu Êm Cho Da Rất Nhạy Cảm Cocoon 500ml,The Cocoon Original Vietnam,260500,16,5.0,1,898,Hot
278719621,Sữa rửa mặt cho nam OXY sạch dịu nhẹ - sáng da OXY White Complete 100g,OXY,95000,0,0.0,0,2,Slow
277526707,[Qùa tặng] Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 50g,Acnes,40000,2,0.0,0,10,Slow
277375219,Sữa rửa mặt Hada Labo dưỡng ẩm cao cấp Premium Cleanser Hydrating 100g,Hada Labo,99000,20,5.0,3,31,Slow
276396782,Sữa rửa mặt X-Men 100g Detox/Sáng da/Ngừa mụn/Kiểm soát nhờn/Mát lạnh,X-Men,62000,25,5.0,4,53,Slow
276281961,Xịt khoáng dưỡng ẩm - làm dịu và bảo vệ da Evoluderm Atomiseur Eau Pure,Evoluderm,88500,55,5.0,19,177,Slow
276003962,Nước tẩy trang bí đao Cocoon 500ml,The Cocoon Original Vietnam,190000,37,5.0,32,31932,Hot
276003895,Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml,The Cocoon Original Vietnam,120000,30,4.8,39,27054,Hot
275969670,Mặt nạ nghệ Hưng Yên Cocoon 30ml,The Cocoon Original Vietnam,104000,32,5.0,7,5341,Hot
275408919,Xịt chống nắng bảo vệ đa chiều Skin Aqua Ultra Protection Mist 60ml,Sunplay,169000,24,5.0,3,37,Slow
275085347,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 15g,Hada Labo,15000,25,0.0,0,233,Slow
274656798,Kem chống nắng dạng gel dịu nhẹ cho da nhạy cảm và trẻ em Anessa Mineral UV sunscreen mild gel For Sensitive Skin & Babies SPF 35+ PA++++ 90g,ANESSA,442000,23,4.5,5,127,Slow
247287157,Kem dưỡng trắng dạng gel Hada Labo Perfect White Tranexamic Acid Cream 50g,Hada Labo,209000,25,4.5,29,1061,Hot
225918674,Nước tẩy trang bí đao Cocoon 500ml dành cho da dầu - da mụn thuần chay,The Cocoon Original Vietnam,300000,0,5.0,3,24,Slow
198341163,Gel Rửa Mặt Oxy Acne Prevent 100g,OXY,68000,24,5.0,15,1454,Hot
191752367,[HOT DEAL] Kem Dưỡng Da Trắng Hồng ban đêm Giảm Thâm Sạm Không Cồn dạng gel SENKA AQUA BRIGHT GLOW GEL CREAM 50g - 15538,Senka,235000,35,4.6,5,759,Hot
176672117,Sữa rửa mặt ngăn ngừa mụn dạng gel Acnes Gentle Wash 100g,Acnes,59000,26,5.0,44,8502,Hot
176672113,Kem chấm mụn chuyên sâu Acnes Blemish Clear Cream 10g,Acnes,51000,24,4.8,91,7560,Hot
176284237,Sữa Rửa Mặt Nivea Men Hạt Mát Xa Sạch Nhờn Mát Lạnh (100G) - 88880,Nivea,74000,10,4.5,8,22206,Hot
55705554,Sữa rửa mặt NIVEA Pearl White giúp trắng da ngọc trai (100g) - 81295,Nivea,58500,26,0.0,0,12636,Hot
54058503,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 80g,Hada Labo,83000,19,4.7,657,78609,Hot
54058501,Kem dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cream 50g,Hada Labo,196000,24,4.7,884,7582,Hot
25108217,Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g,Acnes,59000,23,5.0,249,254892,Hot
25108019,Gel chấm mụn đầu trắng và đầu đen Acnes Sealing Jell 18g,Acnes,57000,23,4.7,337,12384,Hot
25107897,Sữa rửa mặt tạo bọt ngăn ngừa mụn Acnes Foaming Wash 150ml,Acnes,66000,23,4.8,189,3334,Hot
22052325,Sữa rửa mặt cho nam Oxy sạch sâu mát lạnh dạng kem Oxy Perfect Wash 100g,OXY,64000,25,4.8,105,69133,Hot
22052322,Sữa rửa mặt cho nam Oxy sạch sâu giảm nhờn dạng kem có hạt massage Oxy Deep Wash 100g,OXY,68000,24,4.8,256,63892,Hot
22052317,Kem Rửa Mặt Tút Sáng Từ Đất Sét Trắng Oxy White Complete (100g),OXY,64000,29,4.7,171,25524,Hot
10640154,Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 100g,Acnes,59000,23,4.7,322,125338,Hot
6874429,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (24 Miếng),Acnes,50500,22,4.7,329,184338,Hot
5902685,Sữa rửa mặt vitamin làm sáng da - mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g,Acnes,59000,23,4.8,324,147681,Hot
1634983,Phim Thấm Dầu Acnes Oil Remover Film 50 Tờ,Acnes,55000,20,5.0,115,69584,Hot
1634981,Giấy thấm dầu kiểm soát nhờn - ngừa mụn Acnes Oil Remover Paper 100 tờ,Acnes,26500,22,4.7,270,164653,Hot
1313877,Kem chống nắng Sunplay cho bé từ 6 tháng tuổi và da nhạy cảm - dạng sữa Sunplay Baby Mild SPF 35 - PA++ 30g,Sunplay,76000,29,4.8,148,4032,Hot
1313871,Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81 - PA++++ 30g,Sunplay,85000,24,5.0,287,63529,Hot
877362,Combo 3 Bông Tẩy Trang Jomi (80 Miếng / Túi),Jomi,70000,22,4.6,188,3415,Hot
631959,Kem mờ sẹo và thâm dạng gel Acnes Scar Care 12g,Acnes,64000,24,4.7,395,20552,Hot
631498,Kem dưỡng cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Cream 50g,Hada Labo,229000,25,4.7,633,7157,Hot
631034,Sữa rửa mặt dưỡng ẩm tối ưu Hada Labo Advanced Nourish Cleanser 80g,Hada Labo,73000,20,4.7,1253,116942,Hot
630777,Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81 - PA++++ 70g,Sunplay,149000,25,4.8,423,32622,Hot
277020768,Gel Rửa Mặt Simple Dưỡng Ẩm Cho Da Dạng Gel 150ml Water Boost Micellar Facial Gel Wash,SIMPLE,103500,26,5.0,1,1841,Hot
276380779,Combo 10 Mặt Nạ Tăng Sinh Collagen Cấp Tốc Dr.WonJin Instant Repair Triple Peptide Wrinkle Solution Mask 30g x10,Wonjin Effect,298500,25,5.0,1,25,Slow
276181171,COMBO 10 MẶT NẠ DƯỠNG TRẮNG BNBG GLUTATHIONE BRIGHTENING SKINBOOSTER MASK 30MLX10,BNBG,250000,40,0.0,0,13,Slow
